Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,"3,625",57
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Montana,626,54.1
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,772,37
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,"1,395",46
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,924,66.6
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Jersey,"3,839",40.8
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Mexico,"1,487",69.5
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New York,"7,354",34.2
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,"5,476",52.2
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,371,45.4
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,"7,999",66.6
2006,All Causes,All causes,Alaska,"3,354",787.6
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,"2,592",64.1
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,"2,105",46
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,"8,410",61.8
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,675,56.6
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,"3,012",58.9
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,505,53.4
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,"4,238",61.1
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,"10,536",38.6
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,"1,211",43.8
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,372,54.8
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,"3,710",42.4
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,"3,221",41.4
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,"1,705",89.7
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,"3,575",55.6
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,371,61.9
2016,All Causes,All causes,Alabama,"52,466",920.4
2015,All Causes,All causes,Alabama,"51,909",924.5
2014,All Causes,All causes,Alabama,"50,215",909.1
2013,All Causes,All causes,Alabama,"50,189",925.2
2012,All Causes,All causes,Alabama,"49,301",926.7
2011,All Causes,All causes,Alabama,"48,681",933.6
2010,All Causes,All causes,Alabama,"48,038",939.7
2009,All Causes,All causes,Alabama,"47,470",940.2
2008,All Causes,All causes,Alabama,"47,707",959.7
2007,All Causes,All causes,Alabama,"46,696",957.2
2006,All Causes,All causes,Alabama,"46,977",979.5
2005,All Causes,All causes,Alabama,"47,090","1,001.30"
2004,All Causes,All causes,Alabama,"46,121",998.3
2003,All Causes,All causes,Alabama,"46,716","1,020.20"
2002,All Causes,All causes,Alabama,"46,069","1,013.40"
2001,All Causes,All causes,Alabama,"45,316","1,002.10"
2000,All Causes,All causes,Alabama,"45,062","1,004.80"
1999,All Causes,All causes,Alabama,"44,806","1,009.30"
2016,All Causes,All causes,Alaska,"4,494",745.6
2015,All Causes,All causes,Alaska,"4,316",747.4
2014,All Causes,All causes,Alaska,"4,128",736.8
2013,All Causes,All causes,Alaska,"3,997",724.4
2012,All Causes,All causes,Alaska,"3,912",731.4
2011,All Causes,All causes,Alaska,"3,849",747.8
2010,All Causes,All causes,Alaska,"3,728",771.5
2009,All Causes,All causes,Alaska,"3,618",763.8
2008,All Causes,All causes,Alaska,"3,494",761.3
2007,All Causes,All causes,Alaska,"3,463",780.6
2005,All Causes,All causes,Alaska,"3,168",762.3
2004,All Causes,All causes,Alaska,"3,051",756.7
2003,All Causes,All causes,Alaska,"3,180",843.5
2002,All Causes,All causes,Alaska,"3,030",802.4
2001,All Causes,All causes,Alaska,"2,974",831.3
2000,All Causes,All causes,Alaska,"2,914",869.1
1999,All Causes,All causes,Alaska,"2,708",838.9
2016,All Causes,All causes,Arizona,"56,645",675.8
2015,All Causes,All causes,Arizona,"54,299",671.8
2014,All Causes,All causes,Arizona,"51,538",661.7
2013,All Causes,All causes,Arizona,"50,534",674.2
2012,All Causes,All causes,Arizona,"49,549",682.9
2011,All Causes,All causes,Arizona,"48,381",688.9
2010,All Causes,All causes,Arizona,"46,762",693.1
2009,All Causes,All causes,Arizona,"45,816",693.8
2008,All Causes,All causes,Arizona,"45,823",714.5
2007,All Causes,All causes,Arizona,"45,554",731
2006,All Causes,All causes,Arizona,"46,365",767.1
2005,All Causes,All causes,Arizona,"45,827",786.7
2004,All Causes,All causes,Arizona,"43,198",771.1
2003,All Causes,All causes,Arizona,"43,392",798.4
2002,All Causes,All causes,Arizona,"42,816",811.2
2001,All Causes,All causes,Arizona,"41,058",795.9
2000,All Causes,All causes,Arizona,"40,500",810.4
1999,All Causes,All causes,Arizona,"40,050",818.4
2016,All Causes,All causes,Arkansas,"31,756",893.2
2015,All Causes,All causes,Arkansas,"31,617",901.8
2014,All Causes,All causes,Arkansas,"30,467",883.7
2013,All Causes,All causes,Arkansas,"30,437",893.8
2012,All Causes,All causes,Arkansas,"30,117",897.5
2011,All Causes,All causes,Arkansas,"29,653",895.3
2010,All Causes,All causes,Arkansas,"28,916",892.7
2009,All Causes,All causes,Arkansas,"28,673",896.4
2008,All Causes,All causes,Arkansas,"29,322",927.3
2007,All Causes,All causes,Arkansas,"28,191",906.2
2006,All Causes,All causes,Arkansas,"27,901",909.5
2005,All Causes,All causes,Arkansas,"28,055",931.5
2004,All Causes,All causes,Arkansas,"27,528",927.4
2003,All Causes,All causes,Arkansas,"27,918",948.2
2002,All Causes,All causes,Arkansas,"28,513",975.2
2001,All Causes,All causes,Arkansas,"27,759",955.4
2000,All Causes,All causes,Arkansas,"28,217",977.1
1999,All Causes,All causes,Arkansas,"27,925",975.3
2016,All Causes,All causes,California,"262,240",616.9
2015,All Causes,All causes,California,"259,206",621.6
2014,All Causes,All causes,California,"245,929",605.7
2013,All Causes,All causes,California,"248,359",630.1
2012,All Causes,All causes,California,"242,554",630.4
2011,All Causes,All causes,California,"239,942",641.3
2010,All Causes,All causes,California,"234,012",646.7
2009,All Causes,All causes,California,"232,736",655.5
2008,All Causes,All causes,California,"234,766",677.9
2007,All Causes,All causes,California,"233,720",691.7
2006,All Causes,All causes,California,"237,126",718.2
2005,All Causes,All causes,California,"237,037",730.7
2004,All Causes,All causes,California,"232,525",734.3
2003,All Causes,All causes,California,"239,371",768.4
2002,All Causes,All causes,California,"234,565",770
2001,All Causes,All causes,California,"234,044",783.2
2000,All Causes,All causes,California,"229,551",787.9
1999,All Causes,All causes,California,"229,380",802.3
2016,All Causes,All causes,Colorado,"37,530",669.5
2015,All Causes,All causes,Colorado,"36,349",665
2014,All Causes,All causes,Colorado,"35,237",664.4
2013,All Causes,All causes,Colorado,"33,712",655.4
2012,All Causes,All causes,Colorado,"33,133",665.6
2011,All Causes,All causes,Colorado,"32,563",677.8
2010,All Causes,All causes,Colorado,"31,465",682.7
2009,All Causes,All causes,Colorado,"31,173",689.7
2008,All Causes,All causes,Colorado,"31,274",715.8
2007,All Causes,All causes,Colorado,"29,993",708
2006,All Causes,All causes,Colorado,"29,521",720.9
2005,All Causes,All causes,Colorado,"29,627",752.1
2004,All Causes,All causes,Colorado,"28,309",738.5
2003,All Causes,All causes,Colorado,"29,506",792
2002,All Causes,All causes,Colorado,"29,210",804.4
2001,All Causes,All causes,Colorado,"28,294",796.1
2000,All Causes,All causes,Colorado,"27,288",792.1
1999,All Causes,All causes,Colorado,"27,114",801.8
2016,All Causes,All causes,Connecticut,"30,543",654
2015,All Causes,All causes,Connecticut,"30,535",656.1
2014,All Causes,All causes,Connecticut,"29,860",646.5
2013,All Causes,All causes,Connecticut,"29,632",646.3
2012,All Causes,All causes,Connecticut,"29,316",648.2
2011,All Causes,All causes,Connecticut,"29,526",660.6
2010,All Causes,All causes,Connecticut,"28,692",652.9
2009,All Causes,All causes,Connecticut,"28,585",659.3
2008,All Causes,All causes,Connecticut,"28,794",671.9
2007,All Causes,All causes,Connecticut,"28,651",680.5
2006,All Causes,All causes,Connecticut,"29,260",704.6
2005,All Causes,All causes,Connecticut,"29,467",717.7
2004,All Causes,All causes,Connecticut,"29,314",725.1
2003,All Causes,All causes,Connecticut,"29,627",739.7
2002,All Causes,All causes,Connecticut,"30,122",766.1
2001,All Causes,All causes,Connecticut,"29,827",772.1
2000,All Causes,All causes,Connecticut,"30,129",793
1999,All Causes,All causes,Connecticut,"29,446",783.2
2016,All Causes,All causes,Delaware,"8,874",746.2
2015,All Causes,All causes,Delaware,"8,582",741.5
2014,All Causes,All causes,Delaware,"8,260",734
2013,All Causes,All causes,Delaware,"7,967",726.8
2012,All Causes,All causes,Delaware,"7,875",745.4
2011,All Causes,All causes,Delaware,"7,845",764.2
2010,All Causes,All causes,Delaware,"7,706",769.9
2009,All Causes,All causes,Delaware,"7,534",768
2008,All Causes,All causes,Delaware,"7,622",793.5
2007,All Causes,All causes,Delaware,"7,327",786.1
2006,All Causes,All causes,Delaware,"7,204",795.7
2005,All Causes,All causes,Delaware,"7,472",851.4
2004,All Causes,All causes,Delaware,"7,143",838.2
2003,All Causes,All causes,Delaware,"7,070",852.9
2002,All Causes,All causes,Delaware,"6,861",849.3
2001,All Causes,All causes,Delaware,"7,112",903.1
2000,All Causes,All causes,Delaware,"6,875",897.1
1999,All Causes,All causes,Delaware,"6,666",881.6
2016,All Causes,All causes,District of Columbia,"5,037",766
2015,All Causes,All causes,District of Columbia,"4,871",748.6
2014,All Causes,All causes,District of Columbia,"4,723",743.8
2013,All Causes,All causes,District of Columbia,"4,719",752
2012,All Causes,All causes,District of Columbia,"4,650",757.2
2011,All Causes,All causes,District of Columbia,"4,589",755.9
2010,All Causes,All causes,District of Columbia,"4,672",792.4
2009,All Causes,All causes,District of Columbia,"4,834",833.3
2008,All Causes,All causes,District of Columbia,"5,140",897.6
2007,All Causes,All causes,District of Columbia,"5,188",911.2
2006,All Causes,All causes,District of Columbia,"5,344",951.7
2005,All Causes,All causes,District of Columbia,"5,483",970.6
2004,All Causes,All causes,District of Columbia,"5,454",972.1
2003,All Causes,All causes,District of Columbia,"5,573",993
2002,All Causes,All causes,District of Columbia,"5,851","1,034.10"
2001,All Causes,All causes,District of Columbia,"5,951","1,049.90"
2000,All Causes,All causes,District of Columbia,"6,001","1,061.20"
1999,All Causes,All causes,District of Columbia,"6,076","1,087.30"
2016,All Causes,All causes,Florida,"197,313",666.6
2015,All Causes,All causes,Florida,"191,737",662.9
2014,All Causes,All causes,Florida,"185,956",662
2013,All Causes,All causes,Florida,"181,112",663.4
2012,All Causes,All causes,Florida,"177,291",669.9
2011,All Causes,All causes,Florida,"173,976",677.1
2010,All Causes,All causes,Florida,"173,791",701.1
2009,All Causes,All causes,Florida,"169,924",700.1
2008,All Causes,All causes,Florida,"170,703",718.1
2007,All Causes,All causes,Florida,"168,096",723.3
2006,All Causes,All causes,Florida,"170,066",745.6
2005,All Causes,All causes,Florida,"170,791",761.9
2004,All Causes,All causes,Florida,"169,008",771.6
2003,All Causes,All causes,Florida,"168,657",786.7
2002,All Causes,All causes,Florida,"167,814",796.2
2001,All Causes,All causes,Florida,"167,269",806.1
2000,All Causes,All causes,Florida,"164,395",807.8
1999,All Causes,All causes,Florida,"163,224",812.8
2016,All Causes,All causes,Georgia,"81,428",800.4
2015,All Causes,All causes,Georgia,"79,942",808.1
2014,All Causes,All causes,Georgia,"76,887",801.9
2013,All Causes,All causes,Georgia,"75,088",806.2
2012,All Causes,All causes,Georgia,"72,847",808.6
2011,All Causes,All causes,Georgia,"71,248",815.7
2010,All Causes,All causes,Georgia,"71,263",845.4
2009,All Causes,All causes,Georgia,"69,712",842.3
2008,All Causes,All causes,Georgia,"69,640",864.1
2007,All Causes,All causes,Georgia,"68,331",872
2006,All Causes,All causes,Georgia,"67,808",890.2
2005,All Causes,All causes,Georgia,"66,736",910.5
2004,All Causes,All causes,Georgia,"65,818",926.4
2003,All Causes,All causes,Georgia,"66,478",956.8
2002,All Causes,All causes,Georgia,"65,449",961.6
2001,All Causes,All causes,Georgia,"64,485",966.4
2000,All Causes,All causes,Georgia,"63,870",981
1999,All Causes,All causes,Georgia,"62,028",964.9
2016,All Causes,All causes,Hawaii,"10,913",572
2015,All Causes,All causes,Hawaii,"11,053",588.2
2014,All Causes,All causes,Hawaii,"10,767",588.7
2013,All Causes,All causes,Hawaii,"10,505",590.8
2012,All Causes,All causes,Hawaii,"10,274",586.5
2011,All Causes,All causes,Hawaii,"9,923",584.9
2010,All Causes,All causes,Hawaii,"9,617",589.6
2009,All Causes,All causes,Hawaii,"9,914",621.9
2008,All Causes,All causes,Hawaii,"9,501",613.6
2007,All Causes,All causes,Hawaii,"9,495",631
2006,All Causes,All causes,Hawaii,"9,432",643.4
2005,All Causes,All causes,Hawaii,"9,136",638.3
2004,All Causes,All causes,Hawaii,"9,030",652.9
2003,All Causes,All causes,Hawaii,"8,978",667.1
2002,All Causes,All causes,Hawaii,"8,801",673.4
2001,All Causes,All causes,Hawaii,"8,394",660.4
2000,All Causes,All causes,Hawaii,"8,290",675.9
1999,All Causes,All causes,Hawaii,"8,270",688.8
2016,All Causes,All causes,Idaho,"13,366",725
2015,All Causes,All causes,Idaho,"13,026",727.8
2014,All Causes,All causes,Idaho,"12,613",723.8
2013,All Causes,All causes,Idaho,"12,434",730.6
2012,All Causes,All causes,Idaho,"11,998",726.6
2011,All Causes,All causes,Idaho,"12,027",745
2010,All Causes,All causes,Idaho,"11,429",731.6
2009,All Causes,All causes,Idaho,"11,098",725.1
2008,All Causes,All causes,Idaho,"10,962",736.8
2007,All Causes,All causes,Idaho,"10,822",747
2006,All Causes,All causes,Idaho,"10,613",756
2005,All Causes,All causes,Idaho,"10,556",781.2
2004,All Causes,All causes,Idaho,"10,028",766.2
2003,All Causes,All causes,Idaho,"10,380",812.8
2002,All Causes,All causes,Idaho,"9,923",798.8
2001,All Causes,All causes,Idaho,"9,753",803.5
2000,All Causes,All causes,Idaho,"9,563",809.4
1999,All Causes,All causes,Idaho,"9,579",825.2
2016,All Causes,All causes,Illinois,"107,020",724.3
2015,All Causes,All causes,Illinois,"106,872",728.3
2014,All Causes,All causes,Illinois,"105,293",726
2013,All Causes,All causes,Illinois,"103,401",724
2012,All Causes,All causes,Illinois,"102,433",728.7
2011,All Causes,All causes,Illinois,"101,906",737.4
2010,All Causes,All causes,Illinois,"99,931",736.9
2009,All Causes,All causes,Illinois,"100,056",746.9
2008,All Causes,All causes,Illinois,"103,471",782
2007,All Causes,All causes,Illinois,"100,503",770.3
2006,All Causes,All causes,Illinois,"102,171",794.4
2005,All Causes,All causes,Illinois,"103,974",817.5
2004,All Causes,All causes,Illinois,"102,670",816.8
2003,All Causes,All causes,Illinois,"105,325",846.6
2002,All Causes,All causes,Illinois,"106,667",866.7
2001,All Causes,All causes,Illinois,"105,430",863.5
2000,All Causes,All causes,Illinois,"106,634",883
1999,All Causes,All causes,Illinois,"108,436",905.1
2016,All Causes,All causes,Indiana,"63,473",835
2015,All Causes,All causes,Indiana,"62,713",833.9
2014,All Causes,All causes,Indiana,"60,940",822.3
2013,All Causes,All causes,Indiana,"60,716",832.2
2012,All Causes,All causes,Indiana,"59,332",827.5
2011,All Causes,All causes,Indiana,"58,202",825.1
2010,All Causes,All causes,Indiana,"56,743",820.6
2009,All Causes,All causes,Indiana,"55,973",820.6
2008,All Causes,All causes,Indiana,"56,752",843.8
2007,All Causes,All causes,Indiana,"54,000",817.1
2006,All Causes,All causes,Indiana,"55,622",856.8
2005,All Causes,All causes,Indiana,"55,675",874.3
2004,All Causes,All causes,Indiana,"54,211",864.1
2003,All Causes,All causes,Indiana,"55,968",902.2
2002,All Causes,All causes,Indiana,"55,396",906.1
2001,All Causes,All causes,Indiana,"55,198",912.7
2000,All Causes,All causes,Indiana,"55,469",929.6
1999,All Causes,All causes,Indiana,"55,303",934.7
2016,All Causes,All causes,Iowa,"29,538",721.1
2015,All Causes,All causes,Iowa,"29,600",724.6
2014,All Causes,All causes,Iowa,"29,190",722.9
2013,All Causes,All causes,Iowa,"28,948",723.7
2012,All Causes,All causes,Iowa,"28,389",718.3
2011,All Causes,All causes,Iowa,"28,184",722.7
2010,All Causes,All causes,Iowa,"27,745",721.7
2009,All Causes,All causes,Iowa,"27,544",723
2008,All Causes,All causes,Iowa,"28,541",752.6
2007,All Causes,All causes,Iowa,"27,221",724.2
2006,All Causes,All causes,Iowa,"27,362",736.1
2005,All Causes,All causes,Iowa,"27,811",757.5
2004,All Causes,All causes,Iowa,"26,897",738.3
2003,All Causes,All causes,Iowa,"28,062",776.2
2002,All Causes,All causes,Iowa,"27,978",779.9
2001,All Causes,All causes,Iowa,"27,791",780.1
2000,All Causes,All causes,Iowa,"28,060",794.7
1999,All Causes,All causes,Iowa,"28,411",806.4
2016,All Causes,All causes,Kansas,"26,245",756.8
2015,All Causes,All causes,Kansas,"26,664",774.1
2014,All Causes,All causes,Kansas,"25,793",759.3
2013,All Causes,All causes,Kansas,"25,414",757.7
2012,All Causes,All causes,Kansas,"25,145",761
2011,All Causes,All causes,Kansas,"25,116",767.2
2010,All Causes,All causes,Kansas,"24,502",762.2
2009,All Causes,All causes,Kansas,"24,024",757.8
2008,All Causes,All causes,Kansas,"24,975",794.3
2007,All Causes,All causes,Kansas,"24,491",787.8
2006,All Causes,All causes,Kansas,"24,553",802.2
2005,All Causes,All causes,Kansas,"24,682",816.8
2004,All Causes,All causes,Kansas,"23,818",798
2003,All Causes,All causes,Kansas,"24,593",829.5
2002,All Causes,All causes,Kansas,"25,021",851.3
2001,All Causes,All causes,Kansas,"24,647",844.4
2000,All Causes,All causes,Kansas,"24,717",850.5
1999,All Causes,All causes,Kansas,"24,472",848.1
2016,All Causes,All causes,Kentucky,"47,827",938.4
2015,All Causes,All causes,Kentucky,"46,564",924.7
2014,All Causes,All causes,Kentucky,"44,838",906.3
2013,All Causes,All causes,Kentucky,"43,759",899.9
2012,All Causes,All causes,Kentucky,"43,664",916.3
2011,All Causes,All causes,Kentucky,"42,626",910.3
2010,All Causes,All causes,Kentucky,"41,983",915
2009,All Causes,All causes,Kentucky,"41,380",912.5
2008,All Causes,All causes,Kentucky,"41,329",926.7
2007,All Causes,All causes,Kentucky,"40,090",915.3
2006,All Causes,All causes,Kentucky,"40,102",932.3
2005,All Causes,All causes,Kentucky,"40,223",954.7
2004,All Causes,All causes,Kentucky,"38,646",935.3
2003,All Causes,All causes,Kentucky,"40,241",986.4
2002,All Causes,All causes,Kentucky,"40,697","1,009.70"
2001,All Causes,All causes,Kentucky,"39,861",997.1
2000,All Causes,All causes,Kentucky,"39,504",998.6
1999,All Causes,All causes,Kentucky,"39,321","1,004.10"
2016,All Causes,All causes,Louisiana,"44,306",870.5
2015,All Causes,All causes,Louisiana,"43,716",874.2
2014,All Causes,All causes,Louisiana,"43,869",894.2
2013,All Causes,All causes,Louisiana,"43,270",897.7
2012,All Causes,All causes,Louisiana,"42,320",898.6
2011,All Causes,All causes,Louisiana,"40,890",886.6
2010,All Causes,All causes,Louisiana,"40,667",903.8
2009,All Causes,All causes,Louisiana,"40,282",907.8
2008,All Causes,All causes,Louisiana,"41,220",946
2007,All Causes,All causes,Louisiana,"39,966",937.5
2006,All Causes,All causes,Louisiana,"40,045",960.5
2005,All Causes,All causes,Louisiana,"44,355","1,023.70"
2004,All Causes,All causes,Louisiana,"42,215",989.4
2003,All Causes,All causes,Louisiana,"42,719","1,013.70"
2002,All Causes,All causes,Louisiana,"41,984","1,008.50"
2001,All Causes,All causes,Louisiana,"41,757","1,013.10"
2000,All Causes,All causes,Louisiana,"41,138","1,006.30"
1999,All Causes,All causes,Louisiana,"41,238","1,021.60"
2016,All Causes,All causes,Maine,"14,182",759
2015,All Causes,All causes,Maine,"14,479",783.5
2014,All Causes,All causes,Maine,"13,510",739
2013,All Causes,All causes,Maine,"13,547",754.2
2012,All Causes,All causes,Maine,"12,870",730.4
2011,All Causes,All causes,Maine,"13,001",752.8
2010,All Causes,All causes,Maine,"12,750",749.6
2009,All Causes,All causes,Maine,"12,594",752.6
2008,All Causes,All causes,Maine,"12,541",759.4
2007,All Causes,All causes,Maine,"12,493",771.6
2006,All Causes,All causes,Maine,"12,294",775.1
2005,All Causes,All causes,Maine,"12,868",828.2
2004,All Causes,All causes,Maine,"12,443",813
2003,All Causes,All causes,Maine,"12,540",829.8
2002,All Causes,All causes,Maine,"12,694",853.7
2001,All Causes,All causes,Maine,"12,421",848.7
2000,All Causes,All causes,Maine,"12,354",859.4
1999,All Causes,All causes,Maine,"12,261",865.9
2016,All Causes,All causes,Maryland,"48,824",717.6
2015,All Causes,All causes,Maryland,"47,247",705.7
2014,All Causes,All causes,Maryland,"45,867",699.5
2013,All Causes,All causes,Maryland,"45,689",710.4
2012,All Causes,All causes,Maryland,"44,477",709.1
2011,All Causes,All causes,Maryland,"43,745",715.8
2010,All Causes,All causes,Maryland,"43,325",728.6
2009,All Causes,All causes,Maryland,"43,843",750.2
2008,All Causes,All causes,Maryland,"43,892",769.6
2007,All Causes,All causes,Maryland,"43,757",784
2006,All Causes,All causes,Maryland,"43,582",795.9
2005,All Causes,All causes,Maryland,"43,892",818.1
2004,All Causes,All causes,Maryland,"43,232",823.7
2003,All Causes,All causes,Maryland,"44,499",864.5
2002,All Causes,All causes,Maryland,"43,970",872.3
2001,All Causes,All causes,Maryland,"43,839",888
2000,All Causes,All causes,Maryland,"43,753",908.9
1999,All Causes,All causes,Maryland,"43,089",907
2016,All Causes,All causes,Massachusetts,"56,961",669
2015,All Causes,All causes,Massachusetts,"57,806",684.8
2014,All Causes,All causes,Massachusetts,"55,200",663
2013,All Causes,All causes,Massachusetts,"54,567",663.5
2012,All Causes,All causes,Massachusetts,"53,177",657.9
2011,All Causes,All causes,Massachusetts,"53,710",676.3
2010,All Causes,All causes,Massachusetts,"52,583",675
2009,All Causes,All causes,Massachusetts,"52,308",681.4
2008,All Causes,All causes,Massachusetts,"53,518",706.1
2007,All Causes,All causes,Massachusetts,"52,917",709.8
2006,All Causes,All causes,Massachusetts,"53,450",726.8
2005,All Causes,All causes,Massachusetts,"53,874",741.6
2004,All Causes,All causes,Massachusetts,"54,511",758.3
2003,All Causes,All causes,Massachusetts,"56,291",788.7
2002,All Causes,All causes,Massachusetts,"56,928",806
2001,All Causes,All causes,Massachusetts,"56,754",811.4
2000,All Causes,All causes,Massachusetts,"56,681",817.9
1999,All Causes,All causes,Massachusetts,"55,840",814.1
2016,All Causes,All causes,Michigan,"96,231",785.4
2015,All Causes,All causes,Michigan,"95,140",784.4
2014,All Causes,All causes,Michigan,"93,914",783.7
2013,All Causes,All causes,Michigan,"92,408",782.3
2012,All Causes,All causes,Michigan,"89,901",774.2
2011,All Causes,All causes,Michigan,"89,508",784.2
2010,All Causes,All causes,Michigan,"88,021",786.2
2009,All Causes,All causes,Michigan,"86,455",783.1
2008,All Causes,All causes,Michigan,"88,445",812
2007,All Causes,All causes,Michigan,"86,721",808.1
2006,All Causes,All causes,Michigan,"86,042",816
2005,All Causes,All causes,Michigan,"86,867",838.6
2004,All Causes,All causes,Michigan,"85,169",834.1
2003,All Causes,All causes,Michigan,"86,728",860.5
2002,All Causes,All causes,Michigan,"87,795",885.7
2001,All Causes,All causes,Michigan,"86,424",884
2000,All Causes,All causes,Michigan,"86,953",904.2
1999,All Causes,All causes,Michigan,"87,232",916.4
2016,All Causes,All causes,Minnesota,"43,078",648.1
2015,All Causes,All causes,Minnesota,"42,800",653.8
2014,All Causes,All causes,Minnesota,"41,445",647
2013,All Causes,All causes,Minnesota,"40,987",651
2012,All Causes,All causes,Minnesota,"40,016",649.5
2011,All Causes,All causes,Minnesota,"39,820",659.2
2010,All Causes,All causes,Minnesota,"38,972",661.5
2009,All Causes,All causes,Minnesota,"37,851",652.1
2008,All Causes,All causes,Minnesota,"38,499",674
2007,All Causes,All causes,Minnesota,"37,138",663.1
2006,All Causes,All causes,Minnesota,"37,028",675.6
